timestamp,bytes_in,bytes_out,host
1458699222,3508,1308,host248
1458699222,3442,1308,host248
1458699231,90,90,host248
1458699235,151,103,host248
1458699220,5874,1797,host254
1458699246,7655,1754,host18
1458699247,7715,1785,host18
1458699248,0,110,host19
1458699248,0,110,host19
1458699249,0,151,host19
1458699248,8583,1694,host18
1458699248,118,90,host18
1458699249,0,140,host19
1458699249,130,90,host19
1458699249,0,151,host19
1458699250,8583,1694,host18
1458699251,0,83,host19
1458699252,0,151,host19
1458699252,58,404,host19
1458699253,63,191,host248
1458699253,120,199,host248
1458699255,179,86,host248
1458699255,90,90,host248
1458699258,200,270,host248
1458699258,102,157,host248
1458699274,122,155,host248
1458699274,62,78,host248
1458699274,62,78,host248
1458699274,62,80,host248
1458699274,62,76,host248
1458699253,0,89,host19
1458699253,0,90,host19
1458699253,288,90,host19
1458699253,0,90,host19
1458699253,0,360,host18
1458699253,134,85,host18
1458699254,371,90,host19
1458699254,0,90,host19
1458699254,0,81,host19
1458699254,0,90,host19
1458699254,0,86,host19
1458699256,294,294,host19
1458699257,1138,476,host19
1458699257,0,90,host19
1458699259,294,294,host19
1458699260,0,151,host19
1458699260,8583,1694,host18
1458699261,0,110,host19
1458699261,0,294,host19
1458699261,0,294,host19
1458699263,0,152,host19
1458699263,294,294,host19
1458699263,0,294,host19
1458699263,0,151,host19
1458699263,0,151,host19
1458699265,0,294,host19
1458699265,294,294,host19
1458699265,110,110,host19
1458699267,0,151,host19
1458699267,1850,1897,host19
1458699267,4947,1938,host19
1458699270,922,489,host19
1458699270,120,246,host19
1458699270,782,484,host19
1458699272,0,294,host19
1458699272,7655,1710,host18
1458699272,7655,1754,host18
1458699205,0,296,host19
1458699205,0,151,host19
1458699206,0,108,host19
1458699207,0,152,host19
1458699208,0,108,host19
1458699208,0,196,host19
1458699208,0,66,host19
1458699208,0,66,host19
1458699208,0,66,host19
1458699213,66,1820,host19
1458699214,606,345,host19
1458699214,66,484,host19
1458699215,119,89,host19
1458699215,103,87,host19
1458699215,60,58,host19
1458699215,114,98,host19
1458699215,0,151,host19
1458699215,0,151,host19
1458699215,74,1721,host19
1458699216,0,151,host19
1458699215,8583,1694,host18
1458699216,0,151,host19
1458699217,0,151,host19
1458699218,0,151,host19
1458699218,0,151,host19
1458699217,7655,1694,host18
1458699218,74,395,host19
1458699218,0,151,host19
1458699218,294,294,host19
1458699220,932,2780,host19
1458699221,7655,1754,host18
1458699222,250,89,host19
1458699222,0,90,host19
1458699222,0,90,host19
1458699222,275,90,host19
1458699222,0,90,host19
1458699222,0,89,host19
1458699222,234,89,host19
1458699222,0,110,host19
1458699222,0,110,host19
1458699197,707,8357,host8
1458699197,425,89,host8
1458699197,149,80,host8
1458699197,421,78,host8
1458699197,150,83,host8
1458699197,336,96,host8
1458699197,149,80,host8
1458699197,342,76,host8
1458699197,146,73,host8
1458699198,439,73,host8
1458699198,91,75,host8
1458699205,2742,3817,host8
1458699206,161,80,host8
1458699208,108,76,host8
1458699208,331,75,host8
1458699208,164,79,host8
1458699208,2858,2869,host8
1458699209,206,342,host8
1458699209,140,276,host8
1458699209,140,276,host8
1458699209,140,276,host8
1458699209,140,276,host8
1458699209,1771,1832,host8
1458699218,550,550,host8
1458699221,146,73,host8
1458699221,149,80,host8
1458699221,16683,12519,host8
1458699221,332,168,host8
1458699221,130,84,host8
1458699221,332,168,host8
1458699221,159,86,host8
1458699282,360,176,host2
1458699284,1758,629,host2
1458699284,540,90,host2
1458699286,273,90,host2
1458699286,276,90,host2
1458699287,0,132,host2
1458699289,1596,545,host2
1458699297,405,176,host2
1458699276,0,151,host19
1458699276,0,151,host19
1458699276,7655,1694,host18
1458699276,7655,1770,host18
1458699277,0,132,host19
1458699277,0,342,host19
1458699277,0,342,host19
1458699278,0,294,host19
1458699279,0,151,host19
1458699280,0,321,host19
1458699280,0,108,host19
1458699280,8583,1694,host18
1458699282,119,79,host19
1458699282,0,85,host19
1458699282,315,92,host19
1458699283,0,89,host19
1458699283,240,290,host19
1458699282,7655,1694,host18
1458699283,288,90,host19
1458699283,279,90,host19
1458699284,0,88,host19
1458699284,0,107,host19
1458699284,7655,1694,host18
1458699285,66,2005,host19
1458699286,66,334,host19
1458699286,7655,1694,host18
1458699287,238,212,host19
1458699288,7655,1754,host18
1458699289,0,151,host19
1458699289,0,214,host19
1458699290,7655,1710,host18
1458699290,7655,1694,host18
1458699291,74,575,host19
1458699292,66,461,host19
1458699292,0,79,host19
1458699292,0,90,host19
1458699293,294,294,host19
1458699293,0,110,host19
1458699294,0,93,host19
1458699293,7715,1845,host18
1458699295,58,404,host19
1458699295,0,294,host19
1458699223,66,1820,host19
1458699224,0,89,host19
1458699224,272,89,host19
1458699224,255,88,host19
1458699224,299,88,host19
1458699224,248,88,host19
1458699224,294,294,host19
1458699225,0,110,host19
1458699226,0,89,host19
1458699226,334,89,host19
1458699226,0,90,host19
1458699227,117,94,host19
1458699227,0,88,host19
1458699227,0,88,host19
1458699227,0,90,host19
1458699227,0,90,host19
1458699227,0,90,host19
1458699226,8583,1694,host18
1458699226,7655,1770,host18
1458699226,7715,1845,host18
1458699227,271,90,host19
1458699227,342,1085,host19
1458699228,0,108,host19
1458699228,66,236,host19
1458699229,0,294,host19
1458699229,294,294,host19
1458699232,96,80,host19
1458699232,107,91,host19
1458699232,0,906,host19
1458699232,164,86,host19
1458699232,0,98,host19
1458699233,0,110,host19
1458699233,0,110,host19
1458699233,0,110,host19
1458699234,0,110,host19
1458699234,0,151,host19
1458699234,120,246,host19
1458699235,294,294,host19
1458699236,7655,1770,host18
1458699238,66,333,host19
1458699239,294,294,host19
1458699239,162,106,host19
1458699240,162,106,host19
1458699240,162,106,host19
1458699240,0,106,host19
1458699240,0,85,host19
1458699240,0,106,host19
1458699240,162,106,host19
1458699240,0,108,host19
1458699240,11566,8999,host19
1458699240,110,110,host19
1458699240,0,108,host19
1458699240,0,62,host19
1458699242,0,86,host19
1458699244,162,106,host19
1458699243,7655,1694,host18
1458699244,0,106,host19
1458699244,162,106,host19
1458699244,162,106,host19
1458699244,932,2760,host19
1458699244,0,121,host19
1458699245,0,98,host19
1458699222,550,550,host8
