bytes,"device_ip",method,status
290,"130.253.37.97",GET,200
794,"125.17.14.100",GET,200
2399,"130.253.37.97",POST,200
3937,"128.241.220.82",POST,200
318,"92.1.170.135",GET,200
3504,"27.102.11.11",GET,200
3625,"125.17.14.100",GET,200
1349,"195.216.243.24",GET,200
463,"125.17.14.100",POST,200
2796,"94.229.0.21",GET,200
570,"195.80.144.22",GET,200
1146,"130.253.37.97",POST,200
3936,"12.130.60.5",GET,503
3792,"194.215.205.19",GET,200
3350,"201.42.223.29",GET,200
1813,"200.6.134.23",POST,200
1546,"130.253.37.97",GET,200
799,"125.17.14.100",GET,200
2108,"128.241.220.82",GET,200
3633,"142.162.221.28",POST,200
2326,"128.241.220.82",GET,200
869,"195.216.243.24",GET,200
1770,"12.130.60.4",POST,200
477,"12.130.60.4",POST,200
2893,"27.160.0.0",GET,200
1674,"128.241.220.82",GET,200
864,"195.69.252.22",GET,200
2272,"94.229.0.20",GET,200
3620,"193.33.170.23",GET,200
1201,"12.130.60.4",GET,200
1271,"130.253.37.97",GET,200
1838,"125.17.14.100",POST,200
3011,"27.35.11.11",POST,200
2594,"12.130.60.5",GET,200
3971,"194.8.74.23",GET,200
3868,"91.199.80.24",POST,200
846,"12.130.60.5",GET,200
2037,"217.132.169.69",GET,200
3286,"27.160.0.0",GET,200
3297,"27.96.191.11",POST,200
3951,"194.146.236.22",POST,200
2008,"82.245.228.36",POST,200
2134,"12.130.60.4",GET,200
3485,"141.146.8.66",GET,200
369,"201.3.120.132",GET,503
2164,"131.178.233.243",POST,200
1431,"125.17.14.100",GET,200
464,"12.130.60.4",POST,200
1747,"86.9.190.90",GET,200
2190,"202.164.25.24",GET,200
3155,"217.132.169.69",GET,200
856,"131.178.233.243",GET,200
3891,"27.102.11.11",POST,200
2607,"130.253.37.97",GET,200
822,"59.162.167.100",GET,200
3841,"12.130.60.4",GET,200
2771,"128.241.220.82",GET,200
2134,"131.178.233.243",GET,200
814,"141.146.8.66",GET,200
990,"128.241.220.82",GET,200
768,"130.253.37.97",GET,200
1605,"12.130.60.5",POST,200
3977,"125.17.14.100",GET,503
3977,,GET,200
3977,"125.17.14.100",POST,503
3041,"125.17.14.100",POST,200
1123,"130.253.37.97",GET,200
1885,"130.253.37.97",POST,200
633,"27.160.0.0",POST,503
2053,"212.235.92.150",GET,200
470,"128.241.220.82",GET,200
292,"12.130.60.4",POST,200
1142,"141.146.8.66",GET,200
444,"12.130.60.4",GET,200
3240,"74.125.19.106",GET,200
2843,"69.80.0.18",POST,200
2388,"201.3.120.132",GET,200
808,"141.146.8.66",GET,200
914,"141.146.8.66",GET,200
456,"27.101.11.11",GET,200
2898,"128.241.220.82",GET,200
2761,"12.130.60.4",POST,200
1370,"27.96.191.11",GET,200
1869,"12.130.60.4",GET,200
235,"194.146.236.22",GET,200
2092,"130.253.37.97",GET,200
1273,"82.245.228.36",GET,200
3515,"27.1.11.11",GET,200
1132,"84.34.159.23",GET,200
1014,"131.178.233.243",GET,200
3003,"131.178.233.243",GET,200
1087,"130.253.37.97",GET,200
3321,"128.241.220.82",POST,503
224,"91.214.92.22",GET,200
2571,"141.146.8.66",GET,200
445,"131.178.233.243",GET,200
805,"131.178.233.243",GET,200
3108,"27.96.128.0",GET,200
2318,"12.130.60.4",POST,200
1162,"141.146.8.66",GET,200
3617,"27.96.191.11",GET,200
715,"12.130.60.4",GET,200
625,"27.96.191.11",GET,200
686,"27.101.11.11",POST,200
2799,"84.34.159.23",GET,200
1041,"130.253.37.97",POST,200
2421,"87.194.216.51",GET,200
1867,"89.167.143.32",GET,200
1203,"12.130.60.4",POST,200
3220,"131.178.233.243",GET,200
3715,"141.146.8.66",GET,200
790,"130.253.37.97",GET,200
3906,"125.17.14.100",POST,200
3256,"131.178.233.243",GET,200
1142,"128.241.220.82",GET,200
1262,"91.205.40.22",GET,200
1103,"59.162.167.100",GET,200
3879,"12.130.60.4",POST,200
3336,"86.212.199.60",GET,200
886,"125.17.14.100",GET,200
3738,"130.253.37.97",GET,200
2221,"12.130.60.5",POST,200
3091,"12.130.60.4",POST,200
2783,"27.1.11.11",GET,200
2516,"91.214.92.22",GET,200
1489,"74.125.19.106",POST,200
1233,"91.214.92.22",GET,200
2529,"12.130.60.5",GET,200
